vehicle_id,timestamp,engine_rpm,engine_load_pct,exhaust_temp_c,exhaust_flow_rate_kg_h,diff_pressure_kpa,vehicle_speed_kmh,ambient_temp_c,active_regen_status,soot_load_ground_truth
1001,2026-01-05 20:30:16.078172,1477,42.62,247.0,125.92,0.808,33.9,24.9,0,7.18
1001,2026-01-05 20:35:16.078172,1112,76.95,262.1,171.14,1.293,27.1,19.2,0,7.57
1001,2026-01-05 20:40:16.078172,1328,51.28,213.6,136.25,1.136,41.9,18.0,0,7.82
1001,2026-01-05 20:45:16.078172,1217,72.86,227.3,177.39,1.457,15.1,22.5,0,8.19
1001,2026-01-05 20:50:16.078172,789,41.03,268.9,64.81,0.498,14.1,32.7,0,8.39
1001,2026-01-05 20:55:16.078172,943,35.17,200.8,66.35,0.58,42.2,31.5,0,8.57
1001,2026-01-05 21:00:16.078172,778,42.77,281.3,66.59,0.523,33.9,18.4,0,8.78
1001,2026-01-05 21:05:16.078172,1204,44.45,263.9,107.08,0.93,33.8,26.2,0,9.0
1001,2026-01-05 21:10:16.078172,1158,29.28,269.0,67.86,0.561,58.0,28.3,0,9.15
1001,2026-01-05 21:15:16.078172,905,51.81,217.2,93.78,0.93,47.4,27.1,0,9.41
1001,2026-01-05 21:20:16.078172,1264,68.45,219.9,173.1,1.643,26.3,20.9,0,9.75
1001,2026-01-05 21:25:16.078172,1084,45.12,283.1,97.87,0.977,34.2,32.3,0,9.98
1001,2026-01-05 21:30:16.078172,1047,80.8,215.7,169.21,1.703,39.4,27.4,0,10.38
1001,2026-01-05 21:35:16.078172,1055,50.71,247.1,107.03,1.096,37.1,17.4,0,10.63
1001,2026-01-05 21:40:16.078172,1010,52.85,200.2,106.82,1.173,33.2,26.9,0,10.9
1001,2026-01-05 21:45:16.078172,923,42.31,204.3,78.12,0.886,30.9,27.8,0,11.11
1001,2026-01-05 21:50:16.078172,1316,55.81,212.5,146.95,1.699,9.3,27.6,0,11.39
1001,2026-01-05 21:55:16.078172,1203,97.79,295.4,235.29,2.842,38.6,28.3,0,11.88
1001,2026-01-05 22:00:16.078172,1036,51.38,240.5,106.57,1.269,18.4,25.4,0,12.13
1001,2026-01-05 22:05:16.078172,1562,11.99,185.5,37.48,0.433,40.3,30.4,0,12.19
1001,2026-01-05 22:10:16.078172,1112,23.83,277.2,53.05,0.617,19.3,26.1,0,12.31
1001,2026-01-05 22:15:16.078172,1109,30.23,275.4,67.05,0.734,62.2,25.9,0,12.47
1001,2026-01-05 22:20:16.078172,967,52.79,245.4,102.16,1.326,18.1,29.3,0,12.73
1001,2026-01-05 22:25:16.078172,859,34.98,223.9,60.17,0.865,22.9,27.0,0,12.9
1001,2026-01-05 22:30:16.078172,847,53.77,291.3,91.17,1.125,61.8,22.6,0,13.17
1001,2026-01-05 22:35:16.078172,1353,29.38,281.0,79.54,1.013,36.7,24.7,0,13.32
1001,2026-01-05 22:40:16.078172,451,24.63,200.1,22.26,0.381,26.2,17.8,0,13.44
1001,2026-01-05 22:45:16.078172,1011,41.96,192.6,84.93,1.218,51.6,25.1,0,13.65
1001,2026-01-05 22:50:16.078172,903,46.93,226.0,84.82,1.181,33.0,23.1,0,13.89
1001,2026-01-05 22:55:16.078172,1122,49.93,200.5,112.12,1.692,53.8,15.2,0,14.14
1001,2026-01-05 23:00:16.078172,1069,48.82,225.1,104.45,1.492,34.2,22.5,0,14.38
1001,2026-01-05 23:05:16.078172,982,52.74,222.3,103.6,1.562,35.4,26.5,0,14.64
1001,2026-01-05 23:10:16.078172,1262,49.44,227.6,124.85,1.897,17.6,28.1,0,14.89
1001,2026-01-05 23:15:16.078172,1095,41.76,226.3,91.52,1.409,49.2,24.0,0,15.1
1001,2026-01-05 23:20:16.078172,1056,56.48,282.5,119.34,1.901,42.4,25.1,0,15.38
1001,2026-01-05 23:25:16.078172,1236,35.35,244.8,87.4,1.365,34.9,28.0,0,15.56
1001,2026-01-05 23:30:16.078172,936,71.39,201.4,133.69,2.186,14.9,29.0,0,15.92
1001,2026-01-05 23:35:16.078172,1224,49.43,214.1,121.07,1.961,29.8,21.6,0,16.16
1001,2026-01-05 23:40:16.078172,1295,37.79,237.1,97.89,1.621,17.6,22.2,0,16.35
1001,2026-01-05 23:45:16.078172,935,43.66,229.7,81.68,1.33,33.7,26.2,0,16.57
1001,2026-01-05 23:50:16.078172,810,18.89,241.5,30.61,0.526,19.2,32.4,0,16.67
1001,2026-01-05 23:55:16.078172,1271,37.6,209.9,95.62,1.611,29.7,23.6,0,16.85
1001,2026-01-06 00:00:16.078172,1164,27.59,311.3,64.26,1.086,37.8,27.0,0,16.99
1001,2026-01-06 00:05:16.078172,1238,33.98,250.5,84.14,1.449,33.4,21.1,0,17.16
1001,2026-01-06 00:10:16.078172,1104,47.47,288.4,104.9,1.933,51.8,21.2,0,17.4
1001,2026-01-06 00:15:16.078172,1274,42.75,217.7,108.97,1.877,62.8,22.0,0,17.61
1001,2026-01-06 00:20:16.078172,675,32.11,256.0,43.37,0.788,18.6,34.4,0,17.77
1001,2026-01-06 00:25:16.078172,1290,31.35,269.7,80.88,1.384,16.5,34.2,0,17.93
1001,2026-01-06 00:30:16.078172,1335,32.96,304.2,88.07,1.588,4.3,31.2,0,18.09
1001,2026-01-06 00:35:16.078172,781,31.01,251.9,48.44,0.862,30.1,28.1,0,18.25
1001,2026-01-06 00:40:16.078172,886,37.86,270.6,67.13,1.273,31.8,19.4,0,18.44
1001,2026-01-06 00:45:16.078172,793,59.17,220.1,93.86,1.836,35.0,25.6,0,18.73
1001,2026-01-06 00:50:16.078172,1335,41.01,320.2,109.57,2.045,60.9,29.9,0,18.78
1001,2026-01-06 00:55:16.078172,1229,60.53,277.4,148.79,2.892,15.5,16.2,0,19.08
1001,2026-01-06 01:00:16.078172,863,9.41,278.7,16.25,0.386,26.0,25.4,0,19.13
1001,2026-01-06 01:05:16.078172,1425,19.3,247.8,55.03,1.077,4.4,24.8,0,19.22
1001,2026-01-06 01:10:16.078172,686,38.66,276.8,53.09,1.049,10.4,20.3,0,19.42
1001,2026-01-06 01:15:16.078172,997,24.11,288.2,48.09,0.89,29.1,27.5,0,19.54
1001,2026-01-06 01:20:16.078172,993,28.11,208.6,55.87,1.072,28.4,19.0,0,19.68
1001,2026-01-06 01:25:16.078172,1492,40.53,258.6,121.01,2.4,19.5,23.9,0,19.88
1001,2026-01-06 01:30:16.078172,1222,51.36,227.0,125.62,2.516,22.0,13.5,0,20.14
1001,2026-01-06 01:35:16.078172,796,60.5,240.0,96.44,2.0,54.7,26.6,0,20.44
1001,2026-01-06 01:40:16.078172,1715,56.79,211.8,194.89,3.959,28.1,26.0,0,20.72
1001,2026-01-06 01:45:16.078172,948,18.67,206.7,35.42,0.822,20.3,29.4,0,20.82
1001,2026-01-06 01:50:16.078172,1098,62.2,215.5,136.64,2.963,31.2,27.7,0,21.13
1001,2026-01-06 01:55:16.078172,892,37.14,194.7,66.31,1.46,16.9,34.5,0,21.31
1001,2026-01-06 02:00:16.078172,820,48.44,230.5,79.48,1.684,20.2,20.7,0,21.56
1001,2026-01-06 02:05:16.078172,1109,27.54,248.0,61.11,1.314,34.1,20.5,0,21.69
1001,2026-01-06 02:10:16.078172,984,51.33,210.9,101.09,2.224,37.5,28.8,0,21.95
1001,2026-01-06 02:15:16.078172,766,48.15,272.8,73.78,1.599,20.1,16.0,0,22.19
1001,2026-01-06 02:20:16.078172,774,40.72,213.8,63.08,1.445,33.9,16.7,0,22.4
1001,2026-01-06 02:25:16.078172,1086,21.83,251.9,47.46,1.025,20.2,23.1,0,22.5
1001,2026-01-06 02:30:16.078172,1301,31.35,204.8,81.58,1.875,42.5,32.2,0,22.66
1001,2026-01-06 02:35:16.078172,605,28.05,241.9,33.97,0.793,38.7,22.0,0,22.8
1001,2026-01-06 02:40:16.078172,1117,37.66,260.2,84.17,1.952,47.5,22.9,0,22.99
1001,2026-01-06 06:45:32.662216,714,20.38,197.4,29.12,0.656,0.0,31.0,0,23.09
1001,2026-01-06 06:50:32.662216,679,-0.19,159.8,-0.26,0.0,0.0,23.2,0,23.09
1001,2026-01-06 06:55:32.662216,700,18.38,186.5,25.77,0.586,0.0,29.1,0,23.18
1001,2026-01-06 07:00:32.662216,589,11.18,195.4,13.18,0.232,0.0,30.7,0,23.24
1001,2026-01-06 07:05:32.662216,716,7.92,192.7,11.36,0.378,0.0,25.9,0,23.28
1001,2026-01-06 07:10:32.662216,712,7.7,163.0,10.98,0.297,0.0,20.7,0,23.32
1001,2026-01-06 07:15:32.662216,703,7.61,189.6,10.71,0.267,0.0,30.2,0,23.36
1001,2026-01-06 07:20:32.662216,674,8.65,160.4,11.67,0.251,0.0,26.9,0,23.4
1001,2026-01-06 07:25:32.662216,737,5.39,197.4,7.95,0.254,0.0,27.1,0,23.43
1001,2026-01-06 07:30:32.662216,793,6.13,155.1,9.73,0.139,0.0,32.5,0,23.46
1001,2026-01-06 07:35:32.662216,732,9.72,185.6,14.25,0.279,0.0,37.2,0,23.5
1001,2026-01-06 07:40:32.662216,706,10.55,194.5,14.9,0.375,0.0,26.1,0,23.56
1001,2026-01-06 07:45:32.662216,660,12.36,217.6,16.32,0.453,0.0,33.0,0,23.62
1001,2026-01-06 07:50:32.662216,674,5.05,177.5,6.81,0.164,0.0,30.5,0,23.64
1001,2026-01-06 07:55:32.662216,615,17.65,176.8,21.72,0.494,0.0,19.9,0,23.73
1001,2026-01-06 08:00:32.662216,617,14.12,181.5,17.43,0.35,0.0,18.5,0,23.8
1001,2026-01-06 08:05:32.662216,683,18.35,174.8,25.07,0.524,0.0,23.8,0,23.89
1001,2026-01-06 08:10:32.662216,686,-3.48,178.9,-4.78,0.0,0.0,28.5,0,23.88
1001,2026-01-06 08:15:32.662216,792,15.63,174.6,24.78,0.538,0.0,37.9,0,23.96
1001,2026-01-06 08:20:32.662216,702,10.07,179.5,14.16,0.35,0.0,24.3,0,24.01
1001,2026-01-06 08:25:32.662216,671,7.27,179.3,9.76,0.207,0.0,21.4,0,24.04
1001,2026-01-06 08:30:32.662216,705,8.73,210.1,12.31,0.164,0.0,30.5,0,24.09
1001,2026-01-06 08:35:32.662216,762,-0.37,173.1,-0.56,0.0,0.0,18.0,0,24.08
1001,2026-01-06 08:40:32.662216,661,4.45,215.0,5.88,0.189,0.0,31.4,0,24.11
1001,2026-01-06 08:45:32.662216,736,4.35,169.5,6.41,0.179,0.0,18.9,0,24.13
1001,2026-01-06 08:50:32.662216,735,8.8,172.5,12.95,0.348,0.0,27.2,0,24.17
1001,2026-01-06 19:12:24.707100,1559,66.9,312.5,208.65,5.16,86.6,24.1,0,24.51
1001,2026-01-06 19:17:24.707100,1447,80.49,307.7,233.06,5.727,81.5,28.0,0,24.91
1001,2026-01-06 19:22:24.707100,1371,87.55,400.9,240.22,5.906,74.6,24.5,0,24.54
1001,2026-01-06 19:27:24.707100,1445,73.99,383.1,213.91,5.192,84.8,25.8,0,24.24
1001,2026-01-06 19:32:24.707100,1463,69.43,298.7,203.24,4.931,86.5,28.7,0,24.59
1001,2026-01-06 19:37:24.707100,1517,68.16,360.4,206.81,5.029,85.1,21.1,0,24.45
1001,2026-01-06 19:42:24.707100,1519,60.22,298.9,183.01,4.581,87.0,27.4,0,24.75
1001,2026-01-06 19:47:24.707100,1525,79.83,380.4,243.57,5.877,93.3,18.6,0,24.51
1001,2026-01-06 19:52:24.707100,1437,70.26,328.2,202.0,4.985,87.6,21.2,0,24.63
1001,2026-01-06 19:57:24.707100,1438,55.93,309.4,160.96,3.961,80.4,30.3,0,24.91
1001,2026-01-06 20:02:24.707100,1405,96.32,355.5,270.68,6.71,87.5,28.5,0,24.95
1001,2026-01-06 20:07:24.707100,1442,71.22,347.1,205.46,5.179,97.8,21.5,0,24.93
1001,2026-01-06 20:12:24.707100,1496,87.71,404.4,262.51,6.475,81.9,22.2,0,24.53
1001,2026-01-06 20:17:24.707100,1563,79.73,302.9,249.26,6.178,88.1,23.8,0,24.93
1001,2026-01-06 20:22:24.707100,1492,76.21,309.9,227.49,5.777,85.9,28.1,0,25.31
1001,2026-01-06 20:27:24.707100,1555,80.81,363.8,251.47,6.335,89.2,16.7,0,25.2
1001,2026-01-06 20:32:24.707100,1542,72.08,311.7,222.42,5.632,86.4,30.3,0,25.57
1001,2026-01-06 20:37:24.707100,1496,76.82,350.9,229.84,5.917,85.1,22.4,0,25.54
1001,2026-01-06 20:42:24.707100,1509,65.38,340.7,197.39,5.053,82.8,22.6,0,25.54
1001,2026-01-06 20:47:24.707100,1625,61.05,336.8,198.5,5.145,84.1,26.0,0,25.55
1001,2026-01-06 20:52:24.707100,1603,55.14,376.7,176.81,4.463,86.3,30.3,0,25.22
1001,2026-01-06 20:57:24.707100,1448,84.09,339.1,243.58,6.146,96.5,32.3,0,25.32
1001,2026-01-06 21:02:24.707100,1657,64.77,341.5,214.78,5.37,82.9,20.4,0,25.32
1001,2026-01-06 21:07:24.707100,1399,62.32,357.0,174.45,4.469,84.8,20.0,0,25.17
1001,2026-01-06 21:12:24.707100,1598,67.86,370.2,216.94,5.356,84.8,26.9,0,24.95
1001,2026-01-06 21:17:24.707100,1516,74.92,423.7,227.27,5.498,86.4,22.3,0,24.33
1001,2026-01-06 21:22:24.707100,1437,64.45,385.7,185.3,4.513,81.8,22.1,0,23.97
1001,2026-01-06 21:27:24.707100,1416,74.71,369.0,211.7,5.047,82.2,17.4,0,23.79
1001,2026-01-06 21:32:24.707100,1654,87.96,338.4,291.1,6.979,81.9,26.7,0,23.92
1001,2026-01-06 21:37:24.707100,1565,90.1,326.1,282.17,6.75,84.1,21.3,0,24.17
1001,2026-01-06 21:42:24.707100,1496,87.95,356.7,263.25,6.358,82.4,30.9,0,24.15
1001,2026-01-06 21:47:24.707100,1752,64.69,381.3,226.77,5.437,82.6,34.2,0,23.83
1001,2026-01-06 21:52:24.707100,1558,66.41,383.3,206.98,4.903,88.0,27.5,0,23.49
1001,2026-01-06 21:57:24.707100,1606,81.69,369.5,262.51,6.12,91.9,25.7,0,23.34
1001,2026-01-06 22:02:24.707100,1620,61.83,338.2,200.41,4.681,86.8,31.4,0,23.35
1001,2026-01-06 22:07:24.707100,1519,70.46,372.4,214.09,4.982,78.2,35.8,0,23.12
1001,2026-01-06 22:12:24.707100,1469,72.19,397.3,212.13,4.811,86.2,26.4,0,22.7
1001,2026-01-06 22:17:24.707100,1560,71.87,355.8,224.34,5.127,82.8,19.9,0,22.62
1001,2026-01-06 22:22:24.707100,1513,63.0,304.3,190.67,4.344,91.0,26.9,0,22.93
1001,2026-01-06 22:27:24.707100,1656,69.34,406.4,229.74,5.08,82.2,14.0,0,22.43
1001,2026-01-06 22:32:24.707100,1544,64.98,371.3,200.66,4.463,79.9,22.2,0,22.18
1001,2026-01-06 22:37:24.707100,1371,78.72,347.0,216.02,4.888,88.3,19.6,0,22.2
1001,2026-01-06 22:42:24.707100,1347,63.08,357.3,170.0,3.737,84.8,26.8,0,22.06
1001,2026-01-06 22:47:24.707100,1374,84.44,383.5,232.18,5.081,84.6,27.3,0,21.81
1001,2026-01-06 22:52:24.707100,1556,74.48,389.9,231.92,4.988,88.2,28.5,0,21.46
1001,2026-01-06 22:57:24.707100,1491,84.4,404.0,251.69,5.297,81.6,17.8,0,21.05
1001,2026-01-07 01:37:45.253781,677,0.55,171.0,0.75,0.0,0.0,17.1,0,21.06
1001,2026-01-07 01:42:45.253781,738,13.93,188.5,20.56,0.386,0.0,24.8,0,21.13
1001,2026-01-07 01:47:45.253781,699,4.21,210.1,5.89,0.168,0.0,23.9,0,21.15
1001,2026-01-07 01:52:45.253781,701,11.04,139.2,15.49,0.316,0.0,21.6,0,21.2
1001,2026-01-07 01:57:45.253781,649,8.59,216.0,11.17,0.269,0.0,22.1,0,21.24
1001,2026-01-07 02:02:45.253781,728,17.0,198.5,24.77,0.531,0.0,21.8,0,21.33
1001,2026-01-07 02:07:45.253781,734,11.97,197.9,17.59,0.408,0.0,30.2,0,21.39
1001,2026-01-07 02:12:45.253781,673,16.59,184.0,22.33,0.583,0.0,21.6,0,21.47
1001,2026-01-07 02:17:45.253781,786,10.99,167.0,17.29,0.348,0.0,23.4,0,21.53
1001,2026-01-07 02:22:45.253781,721,12.61,168.5,18.19,0.392,0.0,35.7,0,21.59
1001,2026-01-07 02:27:45.253781,786,12.18,180.8,19.16,0.421,0.0,28.1,0,21.65
1001,2026-01-07 02:32:45.253781,648,8.71,146.6,11.31,0.265,0.0,28.2,0,21.69
1001,2026-01-07 02:37:45.253781,675,17.87,155.5,24.15,0.453,0.0,26.1,0,21.78
1001,2026-01-07 02:42:45.253781,752,18.42,170.8,27.72,0.66,0.0,24.8,0,21.88
1001,2026-01-07 02:47:45.253781,691,14.42,193.0,19.94,0.359,0.0,32.4,0,21.95
1001,2026-01-07 02:52:45.253781,769,6.87,187.9,10.57,0.257,0.0,26.3,0,21.98
1001,2026-01-07 02:57:45.253781,672,6.64,179.5,8.93,0.255,0.0,27.7,0,22.02
1001,2026-01-07 03:02:45.253781,681,13.86,123.0,18.89,0.475,0.0,16.3,0,22.09
1001,2026-01-07 03:07:45.253781,681,4.4,154.1,6.0,0.191,0.0,22.7,0,22.11
1001,2026-01-07 03:12:45.253781,717,9.77,189.5,14.01,0.314,0.0,18.6,0,22.16
1001,2026-01-07 03:17:45.253781,749,7.53,148.9,11.29,0.229,0.0,32.5,0,22.19
1001,2026-01-07 03:22:45.253781,742,8.26,173.0,12.26,0.257,0.0,35.4,0,22.24
1001,2026-01-07 03:27:45.253781,719,12.15,200.6,17.47,0.402,0.0,23.7,0,22.3
1001,2026-01-07 03:32:45.253781,690,9.64,179.3,13.31,0.334,0.0,25.3,0,22.34
1001,2026-01-07 03:37:45.253781,736,9.6,181.6,14.14,0.217,0.0,29.6,0,22.39
1001,2026-01-07 03:42:45.253781,717,14.99,122.1,21.51,0.588,0.0,24.3,0,22.47
1001,2026-01-07 03:47:45.253781,755,4.8,192.3,7.25,0.11,0.0,21.9,0,22.49
1001,2026-01-07 03:52:45.253781,795,9.05,184.3,14.4,0.368,0.0,27.5,0,22.54
1001,2026-01-07 03:57:45.253781,707,11.82,228.1,16.73,0.375,0.0,26.0,0,22.6
1001,2026-01-07 04:02:45.253781,752,15.53,203.7,23.37,0.562,0.0,19.3,0,22.67
1001,2026-01-07 04:07:45.253781,781,4.27,186.1,6.67,0.114,0.0,24.7,0,22.69
1001,2026-01-07 04:12:45.253781,716,11.61,188.4,16.63,0.459,0.0,27.3,0,22.75
1001,2026-01-07 04:17:45.253781,687,14.82,203.8,20.39,0.404,0.0,28.0,0,22.83
1001,2026-01-07 04:22:45.253781,735,8.51,207.5,12.51,0.279,0.0,25.6,0,22.87
1001,2026-01-07 04:27:45.253781,691,10.08,158.1,13.93,0.247,0.0,33.0,0,22.92
1001,2026-01-07 04:32:45.253781,657,5.04,136.9,6.63,0.12,0.0,18.4,0,22.94
1001,2026-01-07 04:37:45.253781,782,15.05,166.2,23.54,0.655,0.0,29.9,0,23.02
1001,2026-01-07 04:42:45.253781,683,-2.5,225.8,-3.41,0.0,0.0,16.8,0,23.01
1001,2026-01-07 04:47:45.253781,751,22.2,207.7,33.35,0.799,0.0,28.0,0,23.12
1001,2026-01-07 04:52:45.253781,742,13.79,185.6,20.49,0.48,0.0,24.7,0,23.19
1001,2026-01-07 04:57:45.253781,662,8.6,146.1,11.39,0.26,0.0,20.1,0,23.23
1001,2026-01-07 05:02:45.253781,644,10.9,207.8,14.06,0.373,0.0,17.1,0,23.28
1001,2026-01-07 05:07:45.253781,650,14.7,160.4,19.13,0.436,0.0,27.8,0,23.36
1001,2026-01-07 05:12:45.253781,651,10.53,153.3,13.72,0.291,0.0,26.6,0,23.41
1001,2026-01-07 05:17:45.253781,620,12.2,179.6,15.14,0.383,0.0,26.1,0,23.47
1001,2026-01-07 05:22:45.253781,768,10.63,171.4,16.33,0.39,0.0,27.7,0,23.53
1001,2026-01-07 05:27:45.253781,702,10.2,166.0,14.33,0.305,0.0,18.0,0,23.58
1001,2026-01-07 05:32:45.253781,787,3.78,166.1,5.95,0.105,0.0,29.5,0,23.6
1001,2026-01-07 05:37:45.253781,685,16.24,166.5,22.26,0.541,0.0,20.8,0,23.68
1001,2026-01-07 05:42:45.253781,807,4.06,186.2,6.56,0.187,0.0,27.1,0,23.7
1001,2026-01-07 05:47:45.253781,690,9.35,180.9,12.92,0.299,0.0,29.8,0,23.74
1001,2026-01-07 05:52:45.253781,810,7.21,152.6,11.69,0.274,0.0,37.9,0,23.78
1001,2026-01-07 05:57:45.253781,659,18.2,213.6,24.01,0.545,0.0,27.8,0,23.87
1001,2026-01-07 06:02:45.253781,781,8.1,175.9,12.67,0.274,0.0,19.9,0,23.91
1001,2026-01-07 06:07:45.253781,667,3.88,180.7,5.18,0.085,0.0,26.2,0,23.93
1001,2026-01-07 06:12:45.253781,622,11.65,196.7,14.5,0.248,0.0,26.9,0,23.99
1001,2026-01-07 06:17:45.253781,761,3.95,213.5,6.02,0.165,0.0,21.5,0,24.01
1001,2026-01-07 06:22:45.253781,697,12.79,181.5,17.84,0.456,0.0,20.4,0,24.07
1001,2026-01-07 06:27:45.253781,708,2.93,177.8,4.15,0.055,0.0,21.3,0,24.09
1001,2026-01-07 06:32:45.253781,761,15.46,192.2,23.55,0.514,0.0,23.4,0,24.16
1001,2026-01-07 06:37:45.253781,760,10.71,226.4,16.29,0.414,0.0,26.0,0,24.22
1001,2026-01-07 09:58:48.618520,684,6.07,153.4,8.31,0.11,0.0,27.5,0,24.25
1001,2026-01-07 10:03:48.618520,644,-0.76,187.8,-0.99,0.101,0.0,25.0,0,24.24
1001,2026-01-07 10:08:48.618520,741,10.41,178.0,15.45,0.421,0.0,23.5,0,24.3
1001,2026-01-07 10:13:48.618520,713,11.61,166.6,16.56,0.453,0.0,24.1,0,24.35
1001,2026-01-07 10:18:48.618520,662,12.68,162.0,16.8,0.412,0.0,25.0,0,24.42
1001,2026-01-07 10:23:48.618520,754,12.37,179.5,18.67,0.498,0.0,32.0,0,24.48
1001,2026-01-07 10:28:48.618520,727,10.05,153.8,14.63,0.306,0.0,23.5,0,24.53
1001,2026-01-07 10:33:48.618520,669,9.07,181.1,12.14,0.325,0.0,24.6,0,24.58
1001,2026-01-07 10:38:48.618520,724,10.32,140.5,14.95,0.321,0.0,24.3,0,24.63
1001,2026-01-07 10:43:48.618520,639,13.0,210.6,16.63,0.471,0.0,23.9,0,24.69
1001,2026-01-07 10:48:48.618520,774,10.74,173.3,16.64,0.381,0.0,23.5,0,24.75
1001,2026-01-07 10:53:48.618520,680,10.85,183.2,14.77,0.366,0.0,27.2,0,24.8
1001,2026-01-07 10:58:48.618520,759,14.75,150.3,22.4,0.43,0.0,29.7,0,24.87
1001,2026-01-07 11:03:48.618520,631,8.88,156.6,11.21,0.189,0.0,27.7,0,24.92
1001,2026-01-07 11:08:48.618520,737,7.12,128.2,10.5,0.235,0.0,27.0,0,24.95
1001,2026-01-07 11:13:48.618520,626,10.92,179.7,13.67,0.371,0.0,25.6,0,25.01
1001,2026-01-07 11:18:48.618520,651,15.98,176.8,20.82,0.521,0.0,20.3,0,25.09
1001,2026-01-07 11:23:48.618520,677,5.58,176.5,7.56,0.275,0.0,18.1,0,25.12
1001,2026-01-07 11:28:48.618520,619,17.36,175.8,21.5,0.508,0.0,30.2,0,25.2
1001,2026-01-07 11:33:48.618520,669,19.13,193.6,25.62,0.624,0.0,35.8,0,25.3
1001,2026-01-07 11:38:48.618520,669,13.71,186.0,18.36,0.531,0.0,32.8,0,25.37
1001,2026-01-07 11:43:48.618520,701,6.23,189.2,8.75,0.188,0.0,35.1,0,25.4
1001,2026-01-07 11:48:48.618520,706,8.17,183.7,11.55,0.227,0.0,20.1,0,25.44
1001,2026-01-07 11:53:48.618520,760,6.72,159.1,10.21,0.287,0.0,30.9,0,25.47
1001,2026-01-07 11:58:48.618520,735,14.98,164.9,22.05,0.492,0.0,32.5,0,25.55
1001,2026-01-07 12:03:48.618520,683,8.75,206.6,11.96,0.334,0.0,27.3,0,25.59
1001,2026-01-07 12:08:48.618520,808,6.78,198.6,10.96,0.284,0.0,26.3,0,25.63
1001,2026-01-07 12:13:48.618520,776,12.54,190.8,19.47,0.554,0.0,23.2,0,25.69
1001,2026-01-07 12:18:48.618520,658,4.78,140.7,6.29,0.264,0.0,19.5,0,25.71
1001,2026-01-07 12:23:48.618520,688,8.62,186.1,11.87,0.347,0.0,29.3,0,25.75
1001,2026-01-07 12:28:48.618520,670,9.16,185.7,12.3,0.305,0.0,33.0,0,25.8
1001,2026-01-07 12:33:48.618520,724,13.67,193.3,19.82,0.571,0.0,25.9,0,25.87
1001,2026-01-07 12:38:48.618520,635,12.0,167.0,15.24,0.369,0.0,27.9,0,25.93
1001,2026-01-07 12:43:48.618520,761,10.11,186.2,15.4,0.485,0.0,26.2,0,25.98
1001,2026-01-07 12:48:48.618520,830,12.83,144.8,21.3,0.592,0.0,26.9,0,26.04
1001,2026-01-07 12:53:48.618520,764,13.37,177.2,20.44,0.472,0.0,24.0,0,26.11
1001,2026-01-07 12:58:48.618520,657,7.1,191.8,9.33,0.328,0.0,27.0,0,26.15
1001,2026-01-07 13:03:48.618520,640,12.22,203.9,15.65,0.38,0.0,24.3,0,26.21
1001,2026-01-07 13:08:48.618520,700,6.08,193.0,8.51,0.217,0.0,27.1,0,26.24
1001,2026-01-07 13:13:48.618520,655,7.81,194.4,10.24,0.251,0.0,33.6,0,26.28
1001,2026-01-07 13:18:48.618520,680,11.12,198.7,15.13,0.327,0.0,16.2,0,26.33
1001,2026-01-07 13:23:48.618520,623,16.31,169.0,20.35,0.665,0.0,22.2,0,26.41
1001,2026-01-07 13:28:48.618520,709,17.71,220.1,25.12,0.769,0.0,31.0,0,26.5
